Year,ISO3,ADM0_EN,ADM0_AR,ADM0_PCODE,ADM1_EN,ADM1_AR,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,SDN,Sudan (the),السودان‎,SD,Aj Jazirah,الجزيرة,SD15,2659477 ,2465272 ,5124749 ,376001 ,349472 ,318507 ,299998 ,250020 ,199481 ,167615 ,139862 ,126721 ,112554 ,95461 ,75561 ,56368 ,38757 ,25854 ,15455 ,11790 ,386444 ,357797 ,326528 ,292206 ,231415 ,194635 ,153811 ,101272 ,82428 ,76699 ,68634 ,60243 ,48105 ,34352 ,23744 ,14788 ,12171 ,762445 ,707269 ,645035 ,592204 ,481435 ,394116 ,321426 ,241134 ,209149 ,189253 ,164095 ,135804 ,104473 ,73109 ,49598 ,30243 ,23961 
2024,SDN,Sudan (the),السودان‎,SD,Blue Nile,النيل الأزرق,SD08,408286 ,405644 ,813930 ,73676 ,60877 ,54810 ,54903 ,40880 ,26530 ,19815 ,18711 ,16619 ,12790 ,9882 ,7047 ,4994 ,2997 ,1781 ,1064 ,910 ,75291 ,61541 ,55453 ,51578 ,36207 ,27759 ,21120 ,14514 ,11836 ,12161 ,11076 ,9160 ,7230 ,4518 ,2849 ,1833 ,1518 ,148967 ,122418 ,110263 ,106481 ,77087 ,54289 ,40935 ,33225 ,28455 ,24951 ,20958 ,16207 ,12224 ,7515 ,4630 ,2897 ,2428 
2024,SDN,Sudan (the),السودان‎,SD,Central Darfur,وسط دارفور,SD06,484971 ,458750 ,943721 ,81433 ,71187 ,62728 ,53251 ,40038 ,35936 ,30894 ,25953 ,21914 ,17933 ,14213 ,10244 ,7332 ,4700 ,3089 ,2088 ,2038 ,83171 ,72003 ,63474 ,51211 ,36480 ,36943 ,30532 ,19262 ,14126 ,13445 ,11557 ,8767 ,6567 ,4425 ,2990 ,1964 ,1833 ,164604 ,143190 ,126202 ,104462 ,76518 ,72879 ,61426 ,45215 ,36040 ,31378 ,25770 ,19011 ,13899 ,9125 ,6079 ,4052 ,3871 
2024,SDN,Sudan (the),السودان‎,SD,East Darfur,شرق دارفور,SD05,1186069 ,1204011 ,2390080 ,202339 ,161446 ,142202 ,125947 ,97539 ,90059 ,77318 ,63280 ,54328 ,48281 ,39722 ,27978 ,21737 ,14338 ,9166 ,5802 ,4587 ,201703 ,158155 ,136858 ,117174 ,90224 ,112003 ,98231 ,63723 ,48353 ,45509 ,39091 ,30181 ,24092 ,15946 ,10423 ,6847 ,5498 ,404042 ,319601 ,279060 ,243121 ,187763 ,202062 ,175549 ,127003 ,102681 ,93790 ,78813 ,58159 ,45829 ,30284 ,19589 ,12649 ,10085 
2024,SDN,Sudan (the),السودان‎,SD,Gedaref,القضارف,SD12,1596980 ,1494413 ,3091393 ,287242 ,231891 ,198435 ,174914 ,138092 ,115444 ,96713 ,78549 ,66064 ,55726 ,45484 ,34495 ,28316 ,19235 ,12482 ,7642 ,6256 ,285139 ,226474 ,192670 ,161755 ,123313 ,112500 ,91222 ,60769 ,46940 ,43702 ,38564 ,32861 ,28638 ,20482 ,13879 ,8668 ,6837 ,572381 ,458365 ,391105 ,336669 ,261405 ,227944 ,187935 ,139318 ,113004 ,99428 ,84048 ,67356 ,56954 ,39717 ,26361 ,16310 ,13093 
2024,SDN,Sudan (the),السودان‎,SD,Kassala,كسلا,SD11,1321978 ,1396562 ,2718540 ,190423 ,160390 ,141060 ,127170 ,106583 ,108999 ,98418 ,78003 ,66869 ,62584 ,54544 ,44087 ,33956 ,22034 ,13735 ,7815 ,5308 ,188030 ,159589 ,140720 ,121129 ,92464 ,145617 ,138644 ,91747 ,68701 ,58592 ,49722 ,42984 ,35179 ,26134 ,18199 ,11071 ,8040 ,378453 ,319979 ,281780 ,248299 ,199047 ,254616 ,237062 ,169750 ,135570 ,121176 ,104266 ,87071 ,69135 ,48168 ,31934 ,18886 ,13348 
2024,SDN,Sudan (the),السودان‎,SD,Khartoum,الخرطوم,SD01,2776691 ,3164595 ,5941286 ,244017 ,285180 ,253791 ,254446 ,273737 ,243832 ,233404 ,237774 ,208541 ,156932 ,120493 ,92420 ,63586 ,43940 ,30459 ,19222 ,14917 ,273720 ,315600 ,283842 ,272870 ,280712 ,263251 ,258252 ,286144 ,262007 ,194370 ,148858 ,115449 ,80679 ,54513 ,36144 ,22241 ,15943 ,517737 ,600780 ,537633 ,527316 ,554449 ,507083 ,491656 ,523918 ,470548 ,351302 ,269351 ,207869 ,144265 ,98453 ,66603 ,41463 ,30860 
2024,SDN,Sudan (the),السودان‎,SD,North Darfur,شمال دارفور,SD02,1743028 ,1718790 ,3461818 ,290698 ,248009 ,220799 ,199080 ,162200 ,126705 ,105140 ,84952 ,72971 ,66135 ,55209 ,39629 ,28634 ,18112 ,11430 ,7253 ,6072 ,302875 ,250688 ,221869 ,190202 ,146707 ,142063 ,118631 ,73141 ,54445 ,53938 ,47917 ,38518 ,29915 ,19602 ,12876 ,8396 ,7007 ,593573 ,498697 ,442668 ,389282 ,308907 ,268768 ,223771 ,158093 ,127416 ,120073 ,103126 ,78147 ,58549 ,37714 ,24306 ,15649 ,13079 
2024,SDN,Sudan (the),السودان‎,SD,North Kordofan,شمال كردفان,SD13,1794478 ,1650291 ,3444769 ,296765 ,258338 ,235993 ,220525 ,176329 ,119366 ,90621 ,79800 ,74155 ,65895 ,55045 ,40519 ,30293 ,21142 ,14185 ,8722 ,6785 ,301402 ,260365 ,237778 ,211097 ,160499 ,117123 ,82459 ,50462 ,40905 ,43741 ,40266 ,31807 ,25535 ,18265 ,12779 ,8546 ,7262 ,598167 ,518703 ,473771 ,431622 ,336828 ,236489 ,173080 ,130262 ,115060 ,109636 ,95311 ,72326 ,55828 ,39407 ,26964 ,17268 ,14047 
2024,SDN,Sudan (the),السودان‎,SD,Northern,الشمالية,SD17,743378 ,703483 ,1446861 ,104033 ,90696 ,82251 ,76222 ,63932 ,55633 ,49003 ,41638 ,37517 ,35053 ,30370 ,23469 ,18847 ,13535 ,9501 ,6401 ,5277 ,105968 ,88196 ,77772 ,68877 ,55439 ,56505 ,50294 ,38700 ,32967 ,29728 ,25822 ,21851 ,18974 ,13084 ,8787 ,5742 ,4777 ,210001 ,178892 ,160023 ,145099 ,119371 ,112138 ,99297 ,80338 ,70484 ,64781 ,56192 ,45320 ,37821 ,26619 ,18288 ,12143 ,10054 
2024,SDN,Sudan (the),السودان‎,SD,Red Sea,البحر الأحمر,SD10,965625 ,1069957 ,2035582 ,144931 ,107009 ,93841 ,89818 ,78774 ,72558 ,65002 ,56804 ,53361 ,55196 ,48890 ,35309 ,26950 ,17531 ,10621 ,5774 ,3256 ,146695 ,107165 ,94149 ,86123 ,67870 ,105440 ,99896 ,67621 ,54999 ,55252 ,50521 ,44096 ,36775 ,24133 ,15087 ,8819 ,5316 ,291626 ,214174 ,187990 ,175941 ,146644 ,177998 ,164898 ,124425 ,108360 ,110448 ,99411 ,79405 ,63725 ,41664 ,25708 ,14593 ,8572 
2024,SDN,Sudan (the),السودان‎,SD,River Nile,نهر النيل,SD16,939653 ,922650 ,1862303 ,140185 ,120219 ,109055 ,101662 ,87857 ,66879 ,57068 ,49990 ,44978 ,40365 ,34600 ,27458 ,21347 ,15129 ,10491 ,6831 ,5539 ,143051 ,121292 ,110181 ,97671 ,80000 ,69900 ,60432 ,48754 ,41826 ,36245 ,30899 ,25910 ,20541 ,13993 ,9623 ,6552 ,5780 ,283236 ,241511 ,219236 ,199333 ,167857 ,136779 ,117500 ,98744 ,86804 ,76610 ,65499 ,53368 ,41888 ,29122 ,20114 ,13383 ,11319 
2024,SDN,Sudan (the),السودان‎,SD,Sennar,سنار,SD14,1322979 ,1209347 ,2532326 ,226878 ,181656 ,159632 ,146653 ,117159 ,96330 ,80036 ,66491 ,58894 ,50632 ,41916 ,32248 ,25130 ,16908 ,10925 ,6531 ,4960 ,225880 ,177651 ,158237 ,137889 ,103750 ,92205 ,72745 ,46912 ,37477 ,36022 ,32378 ,27734 ,22351 ,15525 ,10529 ,6674 ,5388 ,452758 ,359307 ,317869 ,284542 ,220909 ,188535 ,152781 ,113403 ,96371 ,86654 ,74294 ,59982 ,47481 ,32433 ,21454 ,13205 ,10348 
2024,SDN,Sudan (the),السودان‎,SD,South Darfur,جنوب دارفور,SD03,1926510 ,1968497 ,3895007 ,285125 ,258700 ,226600 ,201743 ,167532 ,160963 ,138434 ,111020 ,94382 ,84876 ,69763 ,47854 ,32472 ,20069 ,12476 ,7952 ,6549 ,292707 ,264144 ,232346 ,196903 ,151467 ,194908 ,171208 ,106577 ,78547 ,75577 ,65047 ,49194 ,35803 ,22388 ,14289 ,9493 ,7899 ,577832 ,522844 ,458946 ,398646 ,318999 ,355871 ,309642 ,217597 ,172929 ,160453 ,134810 ,97048 ,68275 ,42457 ,26765 ,17445 ,14448 
2024,SDN,Sudan (the),السودان‎,SD,South Kordofan,جنوب كردفان,SD07,594499 ,561970 ,1156469 ,102774 ,88452 ,79794 ,72808 ,53019 ,39661 ,31661 ,28586 ,25072 ,20154 ,16023 ,11818 ,9158 ,6321 ,4242 ,2700 ,2256 ,103053 ,88701 ,80161 ,68693 ,47458 ,40480 ,32116 ,21762 ,16805 ,15772 ,13500 ,10098 ,8073 ,5832 ,4139 ,2812 ,2515 ,205827 ,177153 ,159955 ,141501 ,100477 ,80141 ,63777 ,50348 ,41877 ,35926 ,29523 ,21916 ,17231 ,12153 ,8381 ,5512 ,4771 
2024,SDN,Sudan (the),السودان‎,SD,West Darfur,غرب دارفور,SD04,309359 ,308819 ,618178 ,57890 ,45682 ,39166 ,33353 ,24186 ,23561 ,20470 ,16772 ,13592 ,10519 ,7967 ,5398 ,4011 ,2450 ,1592 ,1198 ,1552 ,59074 ,46067 ,39475 ,32454 ,26110 ,28177 ,23140 ,12639 ,8082 ,8425 ,7331 ,5137 ,4436 ,3105 ,2131 ,1448 ,1588 ,116964 ,91749 ,78641 ,65807 ,50296 ,51738 ,43610 ,29411 ,21674 ,18944 ,15298 ,10535 ,8447 ,5555 ,3723 ,2646 ,3140 
2024,SDN,Sudan (the),السودان‎,SD,West Kordofan,غرب كردفان,SD18,1341813 ,1270841 ,2612654 ,232551 ,198984 ,177785 ,156314 ,121130 ,89921 ,72835 ,65126 ,57255 ,47470 ,38215 ,28130 ,20831 ,14420 ,9710 ,6121 ,5015 ,237189 ,201073 ,179039 ,149486 ,109854 ,90980 ,71046 ,49083 ,38762 ,36369 ,31329 ,24061 ,18692 ,13279 ,9236 ,6104 ,5259 ,469740 ,400057 ,356824 ,305800 ,230984 ,180901 ,143881 ,114209 ,96017 ,83839 ,69544 ,52191 ,39523 ,27699 ,18946 ,12225 ,10274 
2024,SDN,Sudan (the),السودان‎,SD,White Nile,النيل الأبيض,SD09,1773156 ,1619118 ,3392274 ,277551 ,240796 ,215298 ,200708 ,165903 ,131126 ,107836 ,92083 ,82722 ,71791 ,59556 ,45739 ,32063 ,21267 ,14046 ,8700 ,5971 ,279969 ,238473 ,214780 ,188562 ,142203 ,123053 ,97345 ,65635 ,53804 ,51169 ,45283 ,37753 ,29489 ,20886 ,14462 ,9276 ,6976 ,557520 ,479269 ,430078 ,389270 ,308106 ,254179 ,205181 ,157718 ,136526 ,122960 ,104839 ,83492 ,61552 ,42153 ,28508 ,17976 ,12947 
